URL Links,Department Initials,Title,Catalog Page,Course File Name
https://www.utdallas.edu/fact-sheets/ecs/ms-materials-science-and-engineering/,ecs,Master of Science in Materials Science and Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/materials-science#master-of-science-in-materials-science-and-engineering,courses/Master of Science in Materials Science and Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/phd-materials-science-and-engineering/,ecs,Doctor of Philosophy in Materials Science and Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/materials-science,courses/Doctor of Philosophy in Materials Science and Engineering.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-mathematics/,nsm,Master of Science in Mathematics,https://catalog.utdallas.edu/now/graduate/programs/nsm/mathematics#master-of-science-in-mathematics,courses/Master of Science in Mathematics.csv
https://www.utdallas.edu/fact-sheets/nsm/phd-mathematics/,nsm,Doctor of Philosophy in Mathematics,https://catalog.utdallas.edu/2018/graduate/programs/nsm/mathematics#doctor-of-philosophy-in-mathematics,courses/Doctor of Philosophy in Mathematics.csv
https://www.utdallas.edu/fact-sheets/nsm/mat/,nsm,Master of Arts in Teaching in Mathematics Education,https://catalog.utdallas.edu/now/graduate/programs/nsm/science-and-mathematics-education,courses/Master of Arts in Teaching in Mathematics Education.csv
https://www.utdallas.edu/fact-sheets/ecs/ms-mechanical-engineering/,ecs,Master of Science in Mechanical Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/mechanical-engineering#master-of-science-in-mechanical-engineering,courses/Master of Science in Mechanical Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/phd-mechanical-engineering/,ecs,Doctor of Philosophy in Mechanical Engineering,https://catalog.utdallas.edu/2018/graduate/programs/ecs/mechanical-engineering#doctor-of-philosophy-in-mechanical-engineering,courses/Doctor of Philosophy in Mechanical Engineering.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-molecular-and-cell-biology/,nsm,Master of Science in Molecular and Cell Biology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#master-of-science-in-molecular-and-cell-biology,courses/Master of Science in Molecular and Cell Biology.csv
https://www.utdallas.edu/fact-sheets/nsm/phd-molecular-and-cell-biology/,nsm,Doctor of Philosophy in Molecular and Cell Biology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#molecular-and-cell-biology-phd,courses/Doctor of Philosophy in Molecular and Cell Biology.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-physics/,nsm,Master of Science in Physics,https://catalog.utdallas.edu/now/graduate/programs/nsm/physics#master-of-science-in-physics,courses/Master of Science in Physics.csv
https://www.utdallas.edu/fact-sheets/nsm/phd-physics/,nsm,Doctor of Philosophy in Physics,https://catalog.utdallas.edu/now/graduate/programs/nsm/physics#doctor-of-philosophy-in-physics,courses/Doctor of Philosophy in Physics.csv
https://www.utdallas.edu/fact-sheets/epps/ma-political-science/,epps,Master of Arts in Political Science,https://catalog.utdallas.edu/now/graduate/programs/epps/political-science#master-of-arts-in-political-science,courses/Master of Arts in Political Science.csv
https://www.utdallas.edu/fact-sheets/epps/phd-political-science/,epps,Doctor of Philosophy in Political Science,https://catalog.utdallas.edu/now/graduate/programs/epps/political-science#doctor-of-philosophy-in-political-science,courses/Doctor of Philosophy in Political Science.csv
https://www.utdallas.edu/fact-sheets/bbs/ms-psychology/,bbs,Master of Science in Psychology,https://catalog.utdallas.edu/now/graduate/programs/bbs/psychology,courses/Master of Science in Psychology.csv
https://www.utdallas.edu/fact-sheets/bbs/phd-psychology/,bbs,Doctor of Philosophy in Psychology,http://catalog.utdallas.edu/now/graduate/programs/bbs/doctoral-programs,courses/Doctor of Philosophy in Psychology.csv
https://www.utdallas.edu/fact-sheets/epps/mpa/,epps,Master of Public Affairs,https://catalog.utdallas.edu/now/graduate/programs/epps/public-affairs#master-of-public-affairs,courses/Master of Public Affairs.csv
https://www.utdallas.edu/fact-sheets/epps/phd-public-affairs/,epps,Doctor of Philosophy in Public Affairs,https://catalog.utdallas.edu/now/graduate/programs/epps/public-affairs#public-affairs-phd,courses/Doctor of Philosophy in Public Affairs.csv
https://www.utdallas.edu/fact-sheets/epps/mpp/,epps,Master of Public Policy,https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#master-of-public-policy,courses/Master of Public Policy.csv
https://www.utdallas.edu/fact-sheets/epps/phd-public-policy-and-political-economy/,epps,Doctor of Philosophy in Public Policy and Political Economy,https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#doctor-of-philosophy-in-public-policy-and-political-economy,courses/Doctor of Philosophy in Public Policy and Political Economy.csv
https://www.utdallas.edu/fact-sheets/nsm/mat-science-education/,nsm,Master of Arts in Teaching in Science Education,https://catalog.utdallas.edu/now/graduate/programs/nsm/science-and-mathematics-education,courses/Master of Arts in Teaching in Science Education.csv
https://www.utdallas.edu/fact-sheets/epps/ms-social-data-analytics-and-research/,epps,Master of Science in Social Data Analytics and Research,https://catalog.utdallas.edu/now/graduate/programs/epps/social-data-analytics-and-research,courses/Master of Science in Social Data Analytics and Research.csv
https://www.utdallas.edu/fact-sheets/ecs/ms-software-engineering/,ecs,Executive Master of Science in Software Engineering,https://catalog.utdallas.edu/2018/graduate/programs/ecs/software-engineering#master-of-science-in-software-engineering,courses/Executive Master of Science in Software Engineering.csv
